approval_required_action_rate,artifact_grounding,attempt,case_id,forbidden_tool_block_rate,layer,passed,required_column_completion,row_citation_precision,score,source_contract_immutability,table_cell_accuracy,table_schema_correctness,tool_argument_accuracy,tool_selection_accuracy,tool_sequence_validity,workflow_completion
0.0,1.0,1,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:300fd10ee6,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:300fd10ee6,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:300fd10ee6,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:182f669094,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:182f669094,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0093-n2kinc-10-16-1997-ex-10-16-sponsorship-agreement-72206778cab5:tools:table_review:182f669094,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:f6676aa4ad,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:f6676aa4ad,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:f6676aa4ad,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:78e278aa5f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,2,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:78e278aa5f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,3,cuad-0127-anixabiosciencesinc-06-09-2020-ex-10-1-collaboration-agreeme-766a09d61746:tools:table_review:78e278aa5f,1.0,tools,False,0.0,0.0,0.4167,1.0,0.0,0.0,1.0,0.0,1.0,0.0
